cid,sim_content,sim_comment,word_count,duplicate_word_ratio,no_of_sentences,length_of_comment,num_of_punctuations,is_period_sequence,post_coment_gap,black_word_count,is_link,is_youtube_link,is_number,comment_duplication,is_spam
Ugy769vKgLmxLndJ8sx4AaABAg,0.1921857555945049,0.2619489945078245,9,0.0,1,47,0,0,4939.0,0.1111111111111111,0,0,0,0,0
UgwIQMX2rs9U9qI06_N4AaABAg,0.15925864804234827,0.1973984937120251,9,0.0,2,59,2,0,5334059.0,0.0,0,0,0,0,0
UgwCIdg5Z-jirXS6Kgl4AaABAg,0.17853913945269562,0.2061514031700382,16,0.0625,4,90,4,0,2146094.0,0.125,1,1,0,0,1
UgwZsA5gVoDLrZeMRBl4AaABAg,0.24904766633497655,0.23531608662371817,7,0.0,1,37,0,0,1391963.0,0.0,0,0,0,0,0
UgxoAeJzzamd3kqBpiF4AaABAg,0.10932581526746514,0.13163788929218656,13,0.0,2,79,4,1,1362914.0,0.07692307692307693,1,1,0,0,1
UgzhuoMY1sduEDFhMUR4AaABAg,0.28243156806579883,0.27651356447753245,11,0.0,1,71,0,0,1192759.0,0.0,0,0,0,0,0
Ugw28zxbqUdVXr44Vl14AaABAg,0.22635670347067535,0.2438272824612498,8,0.0,1,48,0,0,1122930.0,0.0,0,0,0,0,0
UgzktBpWcom6t3fXDbN4AaABAg,0.3518298163159851,0.3090949218095936,11,0.0,1,60,0,0,964083.0,0.09090909090909091,0,0,0,0,0
UgyG6JKLqM16YwgEO594AaABAg,0.08527134074715374,0.11113034784196008,4,0.0,1,21,1,0,942642.0,0.0,0,0,0,0,1
Ugwj8hjhp0CiaZew_gR4AaABAg,0.48082394600837536,0.4270701067291661,56,0.2142857142857143,4,322,1,1,908922.0,0.03571428571428571,0,0,0,0,0
Ugzu9TcSOj39W0R_aal4AaABAg,0.1789005094654716,0.15994931914283572,7,0.0,1,35,0,0,895957.0,0.0,0,0,0,0,0
Ugzpx61JCUsUDIGd0AR4AaABAg,0.04209293558669977,0.07844917273906592,4,0.0,1,13,4,1,875518.0,0.0,0,0,0,0,0
UgyRCGHEEpxUtIcD_Fl4AaABAg,0.12996567269006531,0.11197082479686617,3,0.0,1,17,0,0,818460.0,0.0,0,0,0,0,0
UgzLtRzPXwPCPuuz_9V4AaABAg,0.15916492321925638,0.1945886947506193,5,0.0,1,22,0,0,747776.0,0.0,0,0,0,0,0
UgyVGI56dK81gIt0LHZ4AaABAg,0.1815012676646548,0.1687130156274535,6,0.0,1,33,0,0,733529.0,0.0,0,0,0,0,0
Ugy_M1JykbCXNevIYkZ4AaABAg,0.04869148805831552,0.34764619662749763,3,0.0,1,10,0,0,701287.0,0.0,0,0,0,0,0
UgxMDy1xBt999QBUbAJ4AaABAg,0.18359696531155908,0.3869607994880967,5,0.0,1,20,0,0,688092.0,0.0,0,0,0,0,0
UgyY7aP_Z__JbJx9U2J4AaABAg,0.09426547140605304,0.14805914007030077,4,0.0,1,18,0,0,660878.0,0.0,0,0,0,0,0
Ugw-0g4iDGY560eNpkR4AaABAg,0.04869148805831552,0.34764619662749763,3,0.0,1,10,0,0,620041.0,0.0,0,0,0,0,0
Ugyvw6GsyEPNrY_tqZN4AaABAg,0.17838000437022325,0.2105931647658892,2,0.0,1,10,0,0,619806.0,0.0,0,0,0,0,0
UgxkenXtcd_S1qqsqIB4AaABAg,0.03975322726336104,0.0804977510143547,6,0.0,1,41,4,0,578321.0,0.0,1,1,0,0,1
UgwZGXVSJaaKT0sSmD54AaABAg,0.2018297064219545,0.2652302321718862,12,0.08333333333333337,2,67,0,1,481446.0,0.16666666666666666,0,0,0,0,1
Ugz-KnnXuPd0qvRnTjR4AaABAg,0.2733690415755731,0.3046975659052166,12,0.0,1,72,0,0,470115.0,0.0,0,0,0,0,0
UgxKM3PCRjeUjMllKEJ4AaABAg,0.16368786650673806,0.21060629719021895,8,0.0,1,45,0,0,454783.0,0.0,0,0,0,0,0
UgxXXu86jG02Oy-nS5F4AaABAg,0.34701460398657763,0.33692749955314955,11,0.0,1,56,0,1,451566.0,0.09090909090909091,0,0,0,0,0
Ugy1zawpWoIktwP3mL94AaABAg,0.22371967427152065,0.2590235773678909,9,0.0,1,47,0,0,449728.0,0.0,0,0,0,0,0
